id,latitude,longitude,bedrooms,beds,price,host_is_superhost,number_of_reviews,review_scores_rating,instant_bookable,minimum_minimum_nights,calculated_host_listings_count,bathrooms,wifi,hot tub,kitchen,tv,coffee,washer,dryer,backyard,pets allowed,workspace,pool,fire pit,bbq,ac,free parking,dishwasher,gym,self check-in,stove,view,patio,crib,total_amenities,rho,theta,downtown,long_stays_only,log_price,max_guests,bedroom_and_bath,baths_per_bedroom,max_guests_sq,max_guests_cu,bathrooms_sq,bathrooms_cu,beds_sq,beds_cu,bedrooms_sq,bedrooms_cu,bedroom_and_bath_sq,bedroom_and_bath_cu,baths_per_bedroom_sq,baths_per_bedroom_cu,three_plus_listings,listing_type_apt,listing_type_guest_suite,listing_type_house,listing_type_private_room,listing_type,listing_type_apt_max_guests,listing_type_guest_suite_max_guests,listing_type_house_max_guests,listing_type_private_room_max_guests,listing_type_apt_bedrooms,listing_type_guest_suite_bedrooms,listing_type_house_bedrooms,listing_type_private_room_bedrooms,listing_type_apt_bathrooms,listing_type_guest_suite_bathrooms,listing_type_house_bathrooms,listing_type_private_room_bathrooms,listing_type_apt_ac,listing_type_guest_suite_ac,listing_type_house_ac,listing_type_private_room_ac,listing_type_apt_kitchen,listing_type_guest_suite_kitchen,listing_type_house_kitchen,listing_type_private_room_kitchen,listing_type_apt_pets allowed,listing_type_guest_suite_pets allowed,listing_type_house_pets allowed,listing_type_private_room_pets allowed,listing_type_apt_downtown,listing_type_guest_suite_downtown,listing_type_house_downtown,listing_type_private_room_downtown,no_reviews_flag
612893881849188932,45.65089,-111.06771,2,3.0,217.0,1,62,4.95,0,1,11,2.0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,16,120.08347081274842,2.7516237559945176,0,0,2.3364597338485296,6,4.0,1.0,36,216,4.0,8.0,9.0,27.0,4,8,16.0,64.0,1.0,1.0,1,1,0,0,0,apt,6,0,0,0,2,0,0,0,2.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
673834076305334804,45.65083,-111.06909,2,3.0,217.0,1,42,4.88,0,1,1,2.0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,15,120.08472439539094,2.75162858688013,0,0,2.3364597338485296,6,4.0,1.0,36,216,4.0,8.0,9.0,27.0,4,8,16.0,64.0,1.0,1.0,0,1,0,0,0,apt,6,0,0,0,2,0,0,0,2.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50545056,45.68236,-111.02455,1,2.0,212.0,1,45,4.96,1,3,1,1.0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,10,120.05552347923066,2.7512446401453996,1,0,2.326335860928751,2,2.0,1.0,4,8,1.0,1.0,4.0,8.0,1,1,4.0,8.0,1.0,1.0,0,0,1,0,0,guest_suite,0,2,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
51088432,45.67872,-111.04854,1,2.0,153.0,1,60,4.98,0,28,1,1.0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,14,120.07632446477533,2.7513486958673563,1,1,2.184691430817599,4,2.0,1.0,16,64,1.0,1.0,4.0,8.0,1,1,4.0,8.0,1.0,1.0,0,1,0,0,0,apt,4,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
27284221,45.71173477172852,-111.0338134765625,2,2.0,197.0,1,104,4.94,1,2,1,1.0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,18,120.07526985599044,2.751047761500461,0,0,2.294466226161593,4,3.0,0.5,16,64,1.0,1.0,4.0,8.0,4,8,9.0,27.0,0.25,0.125,0,0,1,0,0,guest_suite,0,4,0,0,0,2,0,0,0.0,1.0,0.0,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
869599672855821114,45.67824923242976,-111.04694545269012,1,1.0,177.0,1,14,5.0,1,1,3,1.0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,14,120.07467071498762,2.7513472699656827,1,0,2.247973266361807,3,2.0,1.0,9,27,1.0,1.0,1.0,1.0,1,1,4.0,8.0,1.0,1.0,1,1,0,0,0,apt,3,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
39642791,45.64474,-111.06422,1,1.0,264.0,1,48,5.0,0,2,4,1.0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,15,120.07790493623712,2.751660078299352,0,0,2.4216039268698313,4,2.0,1.0,16,64,1.0,1.0,1.0,1.0,1,1,4.0,8.0,1.0,1.0,1,0,0,1,0,house,0,0,4,0,0,0,1,0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51946585,45.68194,-111.07714,2,3.0,212.0,1,94,4.91,0,2,2,2.0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,13,120.10399940361354,2.7514144882908513,0,0,2.326335860928751,5,4.0,1.0,25,125,4.0,8.0,9.0,27.0,4,8,16.0,64.0,1.0,1.0,0,1,0,0,0,apt,5,0,0,0,2,0,0,0,2.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19986314,45.68148,-111.04859,2,2.0,187.0,0,416,4.76,1,1,3,1.0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,9,120.07742067507323,2.7513275972109783,1,0,2.271841606536499,5,3.0,0.5,25,125,1.0,1.0,4.0,8.0,4,8,9.0,27.0,0.25,0.125,1,0,0,1,0,house,0,0,5,0,0,0,2,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
52005720,45.685394,-111.034073,1,1.0,224.0,1,31,5.0,0,3,4,1.0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,13,120.06548459863296,2.7512514516520064,1,0,2.3502480183341627,2,2.0,1.0,4,8,1.0,1.0,1.0,1.0,1,1,4.0,8.0,1.0,1.0,1,0,0,1,0,house,0,0,2,0,0,0,1,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
